age,Male,Use_PC,Married,Family_Num,Clicked_AD
26,1,0,0,3,0
31,1,0,0,0,0
32,1,0,0,1,0
23,1,0,0,2,0
28,1,0,1,0,1
35,0,0,0,3,0
33,1,0,0,1,0
27,0,0,0,0,0
30,0,0,1,3,0
23,0,0,0,2,0
32,0,0,0,4,0
23,0,1,0,3,0
38,0,0,1,1,0
30,1,0,0,0,0
31,1,0,0,0,0
25,1,0,0,4,0
22,1,0,0,3,0
25,0,0,0,2,0
38,0,0,0,2,0
21,0,0,0,1,0
35,0,0,0,2,0
31,1,0,0,4,0
31,0,0,0,1,0
23,1,0,1,4,0
26,1,1,0,2,0
21,0,0,0,0,0
21,1,0,0,3,0
20,0,0,0,1,0
38,1,0,0,1,0
27,0,0,0,4,0
36,1,0,0,3,0
26,1,0,0,3,0
34,0,0,0,1,0
31,0,0,0,4,0
24,1,0,0,2,0
32,1,0,1,1,0
36,0,0,0,1,0
36,0,0,0,4,0
22,1,0,0,2,0
27,1,0,0,1,0
36,1,0,1,2,0
31,0,1,0,2,0
32,1,1,0,1,0
37,1,0,1,4,0
35,0,1,0,1,0
23,1,1,0,3,0
25,1,0,0,4,0
37,0,0,0,3,0
29,0,1,0,2,0
38,1,0,1,0,0
21,0,0,1,3,0
29,0,0,0,4,0
29,1,0,1,4,0
28,1,0,1,1,0
30,1,0,0,0,0
27,1,0,0,4,0
21,1,0,0,3,0
39,1,0,0,3,0
31,1,0,1,3,0
28,1,0,0,3,0
29,0,0,1,0,0
30,1,0,0,3,0
23,1,0,0,0,0
34,1,0,0,0,1
26,0,0,0,1,0
21,1,0,0,2,0
37,1,1,0,3,0
27,1,0,0,2,0
37,1,0,0,2,0
39,1,0,0,3,0
20,1,0,0,3,0
31,1,0,0,0,0
35,1,0,0,3,0
39,1,0,0,1,0
28,1,0,0,0,0
20,1,0,0,0,0
32,1,0,0,2,0
28,0,0,0,0,0
27,0,0,0,1,0
26,0,0,0,4,0
21,1,0,0,1,0
38,0,0,0,2,0
23,0,0,0,2,0
34,0,0,0,3,0
28,1,0,0,0,1
30,1,0,1,2,0
36,1,0,1,1,0
21,1,0,1,2,0
31,1,0,0,0,1
39,1,0,0,1,0
31,0,0,0,1,0
26,1,0,1,3,0
38,1,0,0,3,0
33,0,0,1,3,0
20,1,1,0,0,0
31,1,0,0,0,0
36,1,0,0,4,0
38,1,0,0,1,0
30,0,0,0,0,0
33,1,0,0,4,0
33,1,0,0,4,0
27,1,1,1,4,0
20,1,0,1,3,0
25,1,0,0,3,0
34,1,0,0,1,0
33,1,0,0,2,0
28,0,0,0,3,0
26,1,0,0,1,0
22,0,0,0,2,0
21,1,0,0,3,0
39,1,0,0,2,0
34,0,0,0,4,0
22,1,0,0,1,1
25,1,1,1,2,0
28,0,0,1,4,0
26,0,0,1,2,0
35,0,0,0,0,0
30,1,0,0,4,0
33,0,0,0,4,0
39,1,0,0,1,0
38,1,0,0,3,0
22,1,0,1,1,0
30,1,0,0,0,0
31,1,0,0,4,0
27,1,0,0,0,0
37,1,0,0,4,0
31,1,0,0,1,0
38,1,1,0,2,0
29,0,0,1,3,0
28,0,0,0,2,0
35,1,0,1,4,0
39,1,0,0,2,0
29,1,0,0,3,0
26,1,0,0,1,0
38,0,0,0,4,0
34,1,0,0,0,0
25,1,0,1,0,1
39,1,0,0,0,0
39,1,1,0,2,0
23,0,0,1,2,0
23,1,0,0,0,0
33,1,0,1,1,0
36,1,0,0,0,0
27,1,0,0,3,0
37,1,0,1,0,0
26,1,0,0,0,0
33,1,0,1,0,0
31,1,0,0,1,0
26,0,0,0,1,0
21,0,0,0,1,0
29,0,0,1,3,0
26,1,0,0,2,0
33,1,0,0,1,0
28,1,0,0,4,0
29,1,0,0,1,0
38,1,0,0,0,0
36,1,0,1,3,0
26,1,0,0,1,0
22,1,0,0,1,0
24,0,0,1,4,0
21,1,1,0,1,0
39,1,0,0,3,0
26,0,0,0,2,0
27,1,0,1,0,1
35,0,0,0,2,0
37,1,0,0,1,0
26,0,0,1,0,0
26,1,0,1,0,0
34,1,0,0,0,0
34,0,0,0,2,0
28,1,0,0,1,0
24,0,0,0,4,0
28,1,0,0,0,0
25,1,0,1,4,0
33,1,0,0,3,0
22,1,0,0,0,1
27,1,0,0,2,0
39,1,1,0,4,0
23,1,0,0,3,0
26,1,0,0,4,0
20,1,0,0,1,0
32,1,0,1,1,0
33,1,0,0,2,0
27,1,0,0,4,0
39,1,1,0,1,0
28,1,0,0,1,0
31,1,0,0,1,0
20,0,0,0,4,0
39,1,0,0,0,0
30,1,0,1,4,0
28,0,0,0,2,0
27,0,1,0,1,0
28,1,0,0,2,0
32,1,0,0,1,0
33,1,0,0,3,0
25,1,0,1,1,1
25,0,0,0,3,0
37,1,0,0,3,0
31,1,0,0,4,0
32,1,0,0,3,0
25,1,0,1,4,0
33,0,0,1,0,0
39,0,0,0,3,0
20,1,0,0,4,0
22,1,0,0,4,0
38,1,0,0,1,0
23,0,1,0,0,0
22,1,0,0,4,0
22,1,0,0,4,0
24,1,0,1,1,0
36,1,0,1,1,0
34,1,0,0,4,0
28,0,0,0,1,0
33,1,1,0,3,0
34,0,0,0,3,0
20,0,0,0,0,0
38,1,0,1,3,0
30,1,0,0,4,0
33,1,0,0,2,0
39,1,0,0,4,0
28,0,0,0,3,0
25,0,0,0,4,0
22,1,0,0,1,0
32,1,0,1,0,1
37,1,0,1,0,1
22,1,0,1,2,0
25,1,0,0,1,0
31,1,0,0,0,0
29,1,0,0,2,0
31,0,0,0,4,0
28,0,0,0,1,0
33,1,0,1,4,0
39,1,0,0,4,0
33,0,0,0,0,0
38,1,1,0,4,0
35,0,0,0,4,0
24,1,0,0,1,0
33,1,0,0,1,0
21,1,0,0,4,0
28,0,0,0,1,0
33,1,0,0,4,0
33,0,0,0,4,0
39,0,0,0,2,0
35,0,0,1,3,0
20,1,0,1,2,0
21,0,0,0,2,0
37,1,0,0,2,0
21,0,0,1,3,0
22,1,1,0,2,0
28,0,0,0,1,0
23,1,0,0,4,0
39,0,0,0,0,0
32,1,0,0,4,0
24,0,0,0,2,0
28,0,0,0,4,0
33,0,0,0,0,0
32,1,0,1,0,1
34,1,0,1,3,0
33,1,0,0,2,0
22,0,0,0,4,0
26,0,0,0,0,0
24,1,0,0,0,0
31,1,0,0,3,0
24,1,0,0,0,0
21,1,0,0,2,0
39,1,0,0,3,0
24,1,0,0,1,0
38,1,0,0,1,0
29,1,0,0,4,0
22,1,0,0,3,0
39,0,0,0,3,0
36,1,0,0,0,0
29,0,0,0,2,0
34,0,1,1,4,0
35,0,0,0,3,0
34,0,0,0,3,0
32,1,0,0,2,0
30,1,0,1,4,0
39,0,0,0,4,0
20,1,0,0,1,0
30,1,0,1,3,0
27,1,0,0,2,0
31,1,0,0,4,0
24,0,0,0,4,0
37,0,0,0,4,0
31,1,0,0,3,0
37,1,0,0,0,0
36,0,0,0,0,0
35,1,0,0,0,0
27,1,1,1,3,0
29,1,0,0,2,0
30,1,0,0,0,0
39,1,0,1,3,0
35,1,0,0,4,0
34,1,0,0,0,0
26,0,0,1,0,1
39,1,0,0,4,0
26,0,0,0,4,0
20,1,0,0,4,0
30,1,0,1,0,1
39,1,0,0,0,0
27,1,0,0,2,0
33,1,0,0,4,0
29,1,0,0,1,0
23,0,0,0,4,0
21,1,1,0,4,0
22,0,0,0,4,0
30,1,0,0,4,0
21,1,1,1,3,0
35,1,0,0,1,0
36,0,0,0,1,0
26,1,0,1,1,0
39,1,0,0,1,0
24,1,0,1,2,0
26,1,0,0,1,0
24,1,0,1,3,0
29,0,1,1,4,0
28,1,0,0,0,0
25,1,0,0,2,0
24,0,0,0,1,0
35,0,0,0,1,0
37,1,1,0,0,0
26,0,0,0,3,0
32,1,0,0,0,0
23,1,0,0,2,0
23,1,0,0,4,0
24,1,1,0,3,0
28,0,0,0,0,0
38,0,0,0,1,0
32,0,0,0,3,0
24,1,0,0,1,0
33,0,0,0,4,0
31,1,0,1,2,0
24,1,0,1,3,0
39,0,1,0,0,0
21,1,0,0,2,0
36,0,0,0,1,0
28,0,0,0,0,0
30,1,0,0,0,0
38,1,0,0,0,0
26,0,0,1,1,0
30,1,0,0,3,0
24,0,0,0,0,0
28,1,0,1,4,0
23,1,0,0,4,0
37,0,0,0,0,1
38,1,0,0,1,0
33,0,0,0,2,0
20,1,1,0,4,0
38,1,1,0,3,0
29,1,1,0,0,0
30,1,0,0,1,0
27,1,0,0,4,0
30,1,0,0,2,0
29,1,0,0,1,0
35,1,0,0,1,0
29,1,0,0,3,0
31,1,0,1,3,0
33,1,0,0,3,0
23,0,0,1,2,0
26,1,1,0,4,0
23,0,0,0,4,0
33,1,0,1,3,0
21,1,0,0,1,0
39,0,1,0,0,0
24,0,0,0,2,0
21,1,0,0,2,0
39,1,0,0,4,0
28,1,0,0,2,0
33,1,0,0,3,0
20,1,0,0,0,1
35,0,0,0,0,0
39,1,0,0,4,0
29,0,0,0,2,0
26,1,0,0,1,0
33,1,0,0,0,0
24,1,0,1,1,0
34,0,0,0,1,0
29,0,0,0,2,0
39,1,0,1,0,0
38,1,0,1,3,0
26,1,0,1,0,1
31,1,0,0,0,0
21,0,0,1,2,0
37,1,0,1,4,0
25,1,0,0,0,0
29,0,0,0,4,0
34,1,0,0,3,0
20,0,0,0,1,0
20,0,0,0,4,0
38,0,0,1,3,0
29,1,0,0,4,0
23,1,0,0,3,0
24,0,0,0,1,0
22,1,0,0,0,0
21,0,0,1,0,1
28,1,0,0,2,0
32,1,1,0,0,0
38,1,0,0,0,0
20,1,0,0,0,0
21,0,0,1,0,0
23,1,0,1,3,0
39,1,0,0,0,0
26,0,0,0,2,0
20,0,0,1,4,0
38,0,0,0,3,0
20,0,1,0,0,0
29,1,0,1,4,0
28,1,0,0,3,0
32,0,0,0,2,0
21,0,0,0,1,0
26,1,0,0,3,0
35,0,0,1,0,0
22,0,0,0,3,0
36,1,0,0,4,0
23,1,0,0,4,0
26,1,0,0,3,0
20,1,0,0,3,0
32,1,0,0,1,0
26,1,0,1,3,0
39,0,0,0,2,0
33,0,0,0,2,0
37,1,1,0,3,0
26,0,0,0,1,0
27,0,0,0,0,0
39,1,0,0,1,0
28,1,0,0,2,0
26,1,1,0,4,0
38,0,0,0,2,0
33,1,0,0,4,0
26,1,0,0,2,0
33,0,0,0,4,0
23,1,1,0,3,0
28,0,0,0,3,0
26,1,0,0,1,0
36,1,0,0,4,0
35,1,0,0,3,0
26,0,1,0,1,0
21,0,0,1,3,0
20,0,0,0,4,0
29,0,1,0,2,0
21,1,0,0,2,0
25,1,0,0,2,0
36,1,0,0,2,0
25,1,0,0,0,0
21,0,0,1,1,0
20,1,0,0,1,0
31,1,1,0,2,0
32,1,0,0,0,1
39,0,1,0,3,0
38,0,1,1,3,0
26,0,0,1,2,0
32,0,0,0,3,0
38,1,1,1,4,0
39,0,1,0,1,0
33,1,0,0,3,0
32,0,0,0,1,0
31,0,1,0,1,0
33,1,0,0,3,0
26,1,0,0,1,0
31,1,0,0,3,0
33,1,0,0,0,0
26,1,0,0,0,0
38,1,0,0,4,0
28,1,0,0,3,0
32,1,1,1,1,0
39,1,0,0,3,0
22,1,0,0,4,0
21,1,0,0,4,0
29,1,0,0,3,0
22,1,0,0,4,0
32,1,0,0,4,0
31,0,0,0,2,0
26,1,0,0,1,0
37,1,0,0,0,0
34,1,0,0,2,0
37,0,1,1,1,0
38,1,0,1,1,0
34,1,0,0,0,0
24,0,0,0,1,0
31,1,1,0,2,0
26,1,0,0,1,0
24,0,1,1,0,0
23,1,0,1,1,0
36,0,0,1,1,0
32,1,1,0,4,0
22,1,0,0,4,0
34,0,0,1,4,0
26,1,0,0,4,0
33,1,0,0,1,0
31,0,0,0,4,0
25,1,1,0,1,0
38,1,0,0,3,0
35,1,0,0,4,0
28,1,0,0,0,0
38,1,1,0,1,0
29,0,1,0,2,0
22,1,0,1,4,0
34,1,0,0,0,0
34,0,0,0,0,0
26,1,0,0,4,0
20,0,1,0,1,0
24,0,0,0,2,0
25,1,0,1,2,0
30,1,0,0,1,0
28,0,0,1,3,0
26,1,0,0,2,0
33,0,0,0,0,0
23,1,1,0,1,0
34,0,0,0,3,0
25,0,0,0,4,0
37,0,0,1,0,0
27,1,0,1,1,0
22,1,0,0,3,0
27,1,0,0,3,0
26,1,0,0,3,0
20,1,0,0,3,0
30,0,0,0,2,0
24,1,0,0,3,0
32,1,0,0,1,0
29,1,0,0,4,0
22,1,0,0,4,0
37,0,0,1,3,0
35,1,0,0,2,0
21,0,0,0,2,0
39,0,0,0,3,0
37,1,0,1,3,0
22,1,0,0,1,0
38,0,0,0,4,0
28,1,0,0,0,0
27,1,0,0,3,0
22,1,0,0,4,0
25,0,0,0,3,0
29,0,1,0,4,0
36,1,1,0,1,0
27,0,0,0,2,0
21,0,0,0,2,0
27,0,0,0,1,0
30,1,1,1,2,0
24,1,0,0,2,0
27,1,0,0,1,0
29,1,0,0,0,0
33,1,0,0,4,0
26,0,0,0,0,0
32,0,0,0,1,0
37,1,0,0,3,0
27,0,0,0,4,0
28,1,0,1,2,0
23,1,0,0,0,1
34,0,1,0,1,0
22,1,0,0,3,0
29,1,0,0,0,0
31,0,0,0,0,0
34,1,1,0,3,0
37,1,0,0,3,0
20,1,0,1,0,1
38,1,0,0,0,0
29,0,0,0,3,0
39,1,0,0,1,0
35,0,0,0,0,0
33,0,0,0,1,0
20,1,0,0,2,0
32,1,0,0,1,0
35,1,0,1,4,0
36,1,0,1,0,1
27,1,0,1,2,0
24,0,1,0,0,0
29,0,0,0,0,0
24,1,0,0,1,0
33,0,0,1,0,0
38,1,0,0,4,0
36,1,0,0,2,0
25,1,0,1,4,0
32,0,0,0,0,0
32,1,0,0,0,0
29,1,0,0,0,1
38,1,0,0,2,0
32,1,0,0,0,0
31,0,0,0,1,0
36,1,0,1,3,0
26,1,0,0,2,0
23,0,0,1,3,0
21,1,1,0,1,0
34,1,1,1,3,0
37,1,1,0,0,0
37,1,1,0,4,0
38,1,0,0,4,0
26,1,0,0,2,0
29,0,0,0,0,0
38,0,0,1,2,0
33,0,0,1,0,0
32,0,0,0,2,0
36,0,1,1,2,0
25,1,0,0,3,0
36,1,1,0,4,0
23,1,0,0,2,0
27,0,0,1,0,1
26,1,0,0,4,0
21,0,0,0,3,0
20,1,0,0,2,0
22,0,0,0,3,0
25,1,0,1,1,0
20,1,0,0,2,0
34,1,0,0,4,0
24,1,0,0,1,0
29,0,0,0,1,0
35,1,0,0,0,0
32,1,1,0,2,0
23,1,0,0,4,0
35,0,1,0,2,0
38,1,0,0,1,0
22,1,0,1,0,0
34,1,0,0,3,0
23,0,0,0,2,0
26,1,0,0,3,0
28,0,1,0,3,0
22,1,0,0,1,0
34,1,0,1,1,0
34,1,0,0,2,0
36,1,0,0,2,0
35,1,0,0,3,0
32,0,0,0,4,0
25,0,0,1,4,0
34,0,1,0,2,0
22,0,1,0,3,0
29,0,0,0,3,0
31,1,0,0,1,0
39,0,0,0,2,0
20,0,0,0,0,0
39,1,0,0,0,0
23,1,1,1,3,0
32,1,0,0,2,0
26,1,0,1,2,0
26,1,0,0,3,0
28,1,0,1,0,1
26,0,0,0,2,0
37,1,0,0,2,0
31,1,0,0,0,0
30,1,0,1,2,0
22,1,0,1,2,0
36,1,0,0,4,0
21,1,0,1,3,0
29,0,0,0,3,0
36,1,0,0,2,0
28,1,0,0,1,0
20,1,1,1,4,0
37,1,0,1,4,0
33,1,0,0,1,0
31,1,0,1,2,0
22,1,0,1,3,0
25,1,0,0,4,0
21,1,0,0,3,0
27,1,0,0,3,0
26,1,0,0,0,1
24,0,0,0,0,0
20,1,0,0,3,0
25,1,0,0,0,0
38,0,0,0,1,0
39,1,0,0,3,0
37,1,0,0,3,0
34,0,0,0,3,0
26,1,0,0,2,0
34,1,0,1,2,0
36,1,0,1,0,0
32,1,0,0,2,0
32,0,0,0,1,0
37,1,0,0,0,0
39,0,0,0,2,0
34,1,0,0,0,0
33,0,0,0,2,0
30,1,0,0,4,0
22,1,0,1,0,1
23,0,0,1,1,0
26,1,0,0,4,0
37,0,0,0,3,0
26,1,0,0,1,0
39,0,0,0,2,0
39,1,0,0,3,0
32,1,0,0,1,0
26,1,0,0,3,0
36,1,0,0,1,0
30,1,0,0,4,0
22,1,0,0,4,0
24,0,1,1,1,0
20,1,0,0,2,0
31,1,0,0,1,0
30,1,0,0,0,0
25,1,0,0,0,0
31,1,0,1,1,0
25,1,0,0,4,0
25,1,0,0,1,0
20,0,0,0,2,0
26,1,0,0,0,0
32,1,0,0,3,0
34,1,0,0,1,0
34,1,0,0,2,0
33,1,0,0,0,0
34,1,0,1,1,0
37,1,0,0,4,0
22,1,0,0,1,0
24,1,0,1,4,0
22,1,0,0,2,0
33,1,0,1,1,0
35,1,1,1,3,0
38,1,0,0,3,0
27,0,0,0,1,0
25,1,0,0,1,0
38,0,0,0,3,0
39,1,0,0,3,0
24,1,0,0,3,0
27,0,0,0,4,0
34,1,0,1,3,0
39,1,0,0,0,0
22,0,1,0,3,0
22,1,0,0,4,0
20,1,0,0,0,0
24,1,0,0,1,0
28,1,0,0,4,0
20,1,0,0,3,0
31,0,0,0,2,0
31,1,0,0,0,0
25,0,0,0,3,0
20,1,0,0,3,0
24,0,0,0,1,0
26,1,0,1,4,0
34,0,0,0,0,0
29,1,0,1,2,0
24,1,0,0,1,0
31,0,0,1,4,0
38,0,0,0,2,0
23,0,0,1,0,0
38,0,0,1,2,0
22,1,1,0,0,0
22,1,0,0,3,0
31,0,0,0,2,0
38,0,0,0,3,0
32,1,1,0,0,0
25,1,0,0,0,0
25,0,1,0,0,0
20,1,0,0,1,0
20,0,0,0,3,0
20,1,0,0,4,0
33,0,0,0,0,0
25,1,0,0,4,0
22,1,0,0,4,0
34,1,0,0,4,0
33,0,0,0,0,0
37,0,0,1,1,1
36,1,0,0,1,0
38,1,0,0,2,0
28,1,0,0,0,0
36,1,0,1,1,0
30,0,0,0,1,0
20,1,0,1,1,1
28,1,0,0,1,0
21,1,1,1,3,0
32,0,0,0,0,0
28,1,0,0,3,0
34,0,0,1,4,0
22,1,0,1,1,0
34,1,0,0,3,0
34,1,0,0,3,0
34,0,0,1,2,0
38,1,0,0,2,0
37,0,1,0,3,0
38,1,0,0,4,0
25,0,0,0,2,0
34,0,0,1,1,0
25,0,0,1,0,0
35,0,0,0,4,0
36,1,0,0,2,0
24,0,0,1,4,0
39,1,0,0,4,0
34,0,0,0,0,0
31,0,0,0,3,0
23,1,0,0,3,0
37,1,0,0,2,0
39,0,0,0,0,0
25,1,0,0,3,0
20,1,0,0,0,0
36,0,0,0,3,0
23,1,0,1,4,0
36,1,0,0,4,0
33,1,0,1,4,0
33,1,0,0,3,0
20,1,0,0,4,0
39,1,0,1,2,0
27,1,0,0,3,0
24,1,0,0,0,0
30,0,0,0,4,0
24,1,0,1,3,0
27,1,0,0,0,0
39,1,0,0,0,0
25,1,0,1,4,0
35,1,1,1,3,0
32,0,0,0,2,0
21,0,0,0,3,0
20,1,0,1,4,0
26,1,0,1,2,0
22,1,1,0,0,0
28,1,0,1,3,0
25,1,0,0,4,0
23,0,0,0,0,0
31,1,0,0,2,0
35,1,0,0,3,0
23,0,0,0,1,0
26,1,0,1,3,0
35,1,0,0,3,0
31,0,0,0,1,0
34,0,0,0,0,0
36,1,0,0,2,0
24,1,0,0,4,0
39,1,0,0,1,0
28,1,0,0,4,0
25,1,0,0,3,0
38,1,0,0,4,0
37,0,0,1,1,0
25,1,0,0,3,0
35,1,0,1,4,0
32,1,0,1,1,0
30,1,0,1,0,1
32,1,0,0,4,0
30,1,0,0,1,0
26,1,1,1,3,0
20,0,0,0,4,0
28,1,0,1,3,0
38,0,0,0,1,0
28,1,0,0,1,0
22,1,0,0,0,0
28,0,0,0,2,0
21,1,0,0,0,0
35,1,0,0,4,0
31,1,0,0,0,0
24,1,0,0,3,0
26,1,0,0,2,0
37,1,0,1,2,0
23,1,0,1,4,0
26,1,0,0,1,0
28,0,0,0,1,0
27,0,0,0,1,0
31,1,0,0,0,0
38,1,0,1,0,1
34,0,0,1,1,0
33,1,0,0,1,0
32,1,0,0,1,0
26,1,0,0,2,0
34,1,0,0,3,0
33,1,0,1,3,0
39,1,0,0,4,0
21,0,0,0,4,0
22,0,0,0,0,1
39,1,0,0,3,0
25,1,0,0,0,0
36,1,0,1,3,0
23,1,0,0,1,0
27,1,0,0,1,0
36,1,0,1,0,0
24,1,0,0,3,0
35,1,0,0,0,0
31,1,0,0,2,0
35,1,0,0,4,0
38,1,1,0,4,0
35,1,0,1,3,0
23,1,1,0,4,0
29,1,0,0,0,0
20,0,0,0,2,0
33,1,1,0,0,1
27,0,0,0,2,0
29,1,1,0,4,0
30,1,0,1,2,0
24,1,0,0,0,0
27,1,0,0,1,0
38,1,0,0,1,0
31,1,0,0,0,0
22,0,0,1,3,0
28,1,1,0,1,0
39,0,0,1,4,0
25,1,0,0,3,0
30,0,0,1,1,0
36,1,0,0,3,0
23,1,0,0,4,0
25,1,0,0,4,0
24,0,0,1,3,0
21,1,0,0,2,0
36,0,0,1,2,0
32,1,0,0,1,0
39,1,0,0,0,0
26,1,0,0,1,0
28,0,1,1,4,0
34,1,0,0,0,0
29,1,0,0,3,0
21,1,0,1,1,0
34,0,0,0,1,0
24,0,0,0,2,0
26,1,0,0,3,0
36,1,0,0,4,0
28,1,0,0,2,0
32,1,0,1,4,0
33,0,0,0,0,1
39,0,0,0,0,0
34,1,0,0,2,0
23,0,0,1,1,0
36,1,0,0,4,0
29,0,0,0,4,0
21,0,0,0,0,0
22,1,1,1,2,0
36,1,0,0,1,0
34,1,0,1,0,1
39,1,0,0,4,0
30,1,0,0,1,0
29,1,0,0,4,0
39,1,0,0,4,0
34,0,0,0,4,0
38,0,0,0,1,0
28,1,0,0,1,0
27,1,0,0,3,0
31,1,0,0,4,0
31,1,1,1,4,0
29,1,0,0,2,0
28,0,0,0,2,0
39,1,0,0,0,0
35,1,0,0,4,0
36,1,0,1,4,0
25,0,0,1,1,0
23,1,0,1,3,0
20,1,0,0,4,0
36,0,0,0,1,0
24,1,0,0,0,0
39,0,0,0,2,0
33,1,0,0,1,0
24,1,0,0,1,0
34,0,1,0,3,0
33,1,1,1,2,0
24,0,0,0,1,0
25,1,0,1,3,0
22,1,1,0,0,0
29,1,0,0,4,0
31,1,0,0,2,0
30,1,0,0,1,0
39,0,0,1,3,0
29,1,0,0,1,0
34,1,0,0,1,0
24,1,0,0,3,0
28,0,0,0,0,0
28,1,0,0,1,0
21,0,0,0,2,0
32,1,0,0,4,0
38,1,0,1,4,0
23,0,0,1,2,0
39,0,0,0,2,0
27,0,0,0,4,0
31,1,0,0,4,0
29,1,0,0,0,0
26,0,0,0,2,0
20,1,1,0,2,0
26,1,0,0,2,0
26,0,0,0,3,0
39,1,0,0,2,0
31,1,0,1,4,0
30,1,0,0,0,1
20,1,0,0,0,0
38,0,0,0,1,0
24,0,0,0,1,1
30,1,0,1,2,0
37,1,0,0,4,0
30,1,0,0,1,0
35,0,0,0,1,0
27,0,0,0,3,0
24,1,0,0,0,0
27,1,0,0,4,0
24,0,0,0,2,0
39,1,0,1,2,0
33,1,0,0,3,0
32,0,0,0,2,0
39,1,0,0,1,0
32,1,0,0,2,0
39,0,0,0,1,0
24,0,0,0,2,0
29,0,0,0,1,0
39,1,0,0,4,0
34,0,0,1,1,0
31,1,1,0,4,0
30,0,0,0,2,0
24,1,0,1,0,1
30,1,0,0,2,0
23,0,0,0,3,0
28,1,0,0,0,0
33,1,0,1,1,0
20,1,0,1,1,0
26,1,0,1,0,0
35,1,0,0,2,0
35,0,0,0,3,0
25,1,0,0,1,0
34,1,0,0,1,0
30,1,0,0,0,1
27,1,0,0,1,0
38,0,0,0,0,0
37,1,0,1,3,0
34,0,0,0,2,0
25,0,0,1,4,0
32,1,0,0,3,0
29,1,0,0,3,0
23,0,0,0,2,0
38,1,0,1,1,0
37,1,0,0,0,0
36,1,0,0,4,0
39,1,0,0,0,1
26,1,0,0,4,0
21,1,0,0,2,0
36,1,0,0,2,0
22,0,0,0,2,0
37,1,0,0,3,0
27,1,0,0,3,0
38,0,0,0,2,0
30,0,0,0,3,0
34,0,0,1,2,0
37,1,0,0,4,0
27,1,0,0,4,0
34,0,0,1,4,0
22,1,0,0,2,0
38,1,0,0,0,0
36,1,0,0,3,0
31,0,0,1,4,0
35,1,0,0,4,0
31,1,1,0,4,0
33,1,0,0,1,0
33,1,0,0,0,0
26,1,0,0,3,0
20,0,0,0,2,0
27,1,1,0,1,0
32,1,0,0,1,0
36,1,0,0,4,0
29,1,0,0,0,1
27,1,0,0,4,0
27,1,0,0,0,0
38,1,0,0,0,0
20,0,0,0,4,0
34,0,0,0,4,0
24,0,0,0,0,0
38,1,0,0,1,1
23,0,0,0,1,0
31,1,0,0,3,0
35,1,0,0,1,0
38,0,0,0,0,0
35,1,0,0,2,0
37,1,0,1,1,0
30,1,0,0,3,0
21,1,0,1,2,0
23,1,0,0,4,0
32,1,0,0,3,0
31,0,0,0,0,0
28,0,0,0,3,0
34,0,1,1,3,0
35,1,0,0,0,0
26,0,0,0,1,0
23,0,1,0,3,0
21,0,0,0,4,0
33,1,0,1,1,0
34,1,0,1,3,0
25,1,0,0,3,0
34,1,0,0,1,0
33,0,0,0,3,0
21,1,0,0,1,0
35,1,0,1,0,0
32,1,0,0,3,0
33,1,0,1,2,0
28,1,0,0,3,0
25,1,0,0,1,0
29,0,0,0,0,0
26,1,0,0,0,0
37,1,0,1,3,0
35,1,0,0,2,0
35,1,0,0,0,0
36,1,0,0,4,0
34,1,0,0,0,0
23,1,0,0,1,0
20,1,0,0,1,0
38,1,0,1,0,0
27,1,0,0,1,0
23,0,1,0,3,0
20,1,0,0,4,0
38,1,0,0,2,0
35,1,0,0,0,0
25,1,0,0,2,0
28,1,0,1,0,1
23,1,1,0,1,0
33,1,0,1,4,0
39,0,0,1,2,0
35,1,0,0,1,0
37,0,0,0,3,0
28,1,1,0,4,0
23,0,0,0,4,0
21,1,0,0,4,0
22,1,0,1,2,0
22,1,0,0,2,0
26,0,0,0,3,0
22,1,0,0,2,0
33,1,1,0,2,0
37,0,0,0,4,0
21,1,0,0,1,0
28,0,0,0,3,0
29,0,0,0,1,0
32,0,1,0,2,0
25,1,0,0,2,0
32,0,0,0,4,0
29,1,0,0,2,0
29,1,0,1,4,0
38,1,0,0,3,0
29,1,0,0,0,0
33,1,0,0,0,0
27,1,0,0,3,0
20,1,0,0,0,0
35,0,0,0,4,0
22,0,0,1,4,0
29,1,0,1,1,0
33,0,1,0,3,0
32,1,1,0,3,0
36,1,0,0,0,0
33,0,1,0,3,0
29,0,0,0,1,0
31,0,0,0,4,0
21,1,0,0,1,0
20,1,0,0,0,0
29,1,0,0,3,0
32,0,0,0,3,0
24,1,0,1,1,0
27,1,0,0,3,0
31,1,0,0,3,0
24,1,0,0,3,0
36,0,0,0,2,0
32,1,0,0,1,0
28,1,0,0,1,0
20,1,0,0,2,0
21,0,0,1,4,0
35,1,0,0,1,0
31,1,0,0,3,0
29,1,0,0,2,0
37,0,1,0,2,0
21,1,0,0,0,0
25,1,1,0,4,0
24,1,0,0,1,0
32,0,0,0,0,0
32,1,0,0,0,0
25,0,0,0,1,0
23,0,0,0,1,0
29,1,0,0,4,0
37,1,1,0,0,0
32,1,0,1,0,0
38,1,1,0,0,1
39,1,0,0,0,0
21,1,1,0,0,0
29,1,0,0,0,0
35,1,0,0,3,0
20,1,0,1,4,0
26,1,0,0,2,0
38,1,0,0,0,0
22,1,0,0,4,0
26,1,0,0,3,0
29,1,0,0,2,0
26,1,0,0,4,0
39,0,0,0,0,0
27,1,0,0,0,0
23,0,0,0,0,0
35,1,0,0,2,0
